Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2074501,-,Queensland,Australia,-27.35,152.66,0,227,10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2012,1,1,0,30,26,0.71,0.059300000000000005,0.67,107,1010,1062,1,12.9,107,1010,0,1062,0.276,44.300000000000004,19.11,0.14,983,1.8,128,2.4000000000000004
2012,1,1,1,30,26.900000000000002,0.74,0.056400000000000006,0.67,108,1026,1127,1,12.600000000000001,108,1026,0,1127,0.276,41.050000000000004,6.65,0.14,982,1.7000000000000002,121,2.6
2012,1,1,2,30,27.400000000000002,0.74,0.0565,0.67,107,1025,1118,1,12.200000000000001,107,1025,0,1118,0.275,38.97,9.5,0.14,982,1.7000000000000002,114,2.7
2012,1,1,3,30,27.400000000000002,0.63,0.0716,0.67,115,994,1033,1,12.100000000000001,115,994,0,1033,0.275,38.62,22.42,0.14,981,1.8,109,2.9000000000000004
2012,1,1,4,30,26.900000000000002,0.6,0.07540000000000001,0.67,111,959,889,1,12.200000000000001,111,959,0,889,0.274,40,35.730000000000004,0.14,981,1.8,106,3
2012,1,1,5,30,26,0.59,0.0784,0.67,102,901,694,0,12.4,102,901,0,694,0.274,42.74,48.980000000000004,0.14,982,1.8,105,3
2012,1,1,6,30,24.700000000000003,0.6,0.0781,0.67,88,805,465,0,12.5,88,805,0,465,0.275,46.74,62.07,0.14,982,1.8,103,2.8000000000000003
2012,1,1,7,30,22.900000000000002,0.61,0.07740000000000001,0.67,65,619,226,0,12.700000000000001,65,619,0,226,0.276,52.68,74.86,0.14,983,1.8,101,2.3000000000000003
2012,1,1,8,30,21,0.63,0.0741,0.67,21,171,30,1,13.200000000000001,21,171,0,30,0.277,61,87.08,0.14,984,1.8,97,1.5
2012,1,1,9,30,19.6,0.66,0.0718,0.67,0,0,0,0,13.8,0,0,0,0,0.278,69.14,99.05,0.14,985,1.7000000000000002,96,1.1
2012,1,1,10,30,18.7,0.6900000000000001,0.0679,0.67,0,0,0,0,13.9,0,0,0,0,0.278,73.71000000000001,109.79,0.14,985,1.7000000000000002,98,0.9
2012,1,1,11,30,18,0.72,0.06430000000000001,0.67,0,0,0,0,14,0,0,0,0,0.277,77.27,118.98,0.14,985,1.7000000000000002,103,0.8
2012,1,1,12,30,17.5,0.75,0.0614,0.67,0,0,0,0,14,0,0,0,0,0.277,79.92,125.82000000000001,0.14,985,1.7000000000000002,109,0.8
2012,1,1,13,30,17,0.78,0.0591,0.67,0,0,0,0,14,0,0,0,0,0.277,82.46000000000001,129.34,0.14,984,1.7000000000000002,115,0.7000000000000001
2012,1,1,14,30,16.5,0.79,0.057300000000000004,0.67,0,0,0,0,14,0,0,0,0,0.277,85.14,128.84,0.14,984,1.7000000000000002,124,0.7000000000000001
2012,1,1,15,30,16.1,0.8,0.056100000000000004,0.67,0,0,0,3,14,0,0,0,0,0.277,87.29,124.43,0.14,984,1.7000000000000002,133,0.7000000000000001
2012,1,1,16,30,15.700000000000001,0.8200000000000001,0.054900000000000004,0.67,0,0,0,0,14,0,0,0,0,0.278,89.36,116.94,0.14,984,1.7000000000000002,141,0.7000000000000001
2012,1,1,17,30,15.4,0.8300000000000001,0.0533,0.67,0,0,0,0,13.9,0,0,0,0,0.279,90.75,107.31,0.14,984,1.7000000000000002,145,0.7000000000000001
2012,1,1,18,30,15.700000000000001,0.85,0.0522,0.67,0,0,0,0,13.8,0,0,0,0,0.28,88.65,96.29,0.14,985,1.7000000000000002,145,0.8
2012,1,1,19,30,17.400000000000002,0.87,0.051500000000000004,0.67,31,391,70,1,14,31,391,0,70,0.281,80.44,84.23,0.14,986,1.7000000000000002,139,1.2000000000000002
2012,1,1,20,30,20,0.9,0.049800000000000004,0.67,60,738,291,1,13.8,60,738,0,291,0.281,67.51,71.81,0.14,986,1.6,124,1.8
2012,1,1,21,30,22.1,0.92,0.049100000000000005,0.67,77,882,532,1,13.100000000000001,77,882,1,532,0.28200000000000003,56.68,58.93,0.14,986,1.6,116,2
2012,1,1,22,30,23.8,0.9400000000000001,0.048400000000000006,0.67,87,959,756,1,12.700000000000001,87,959,0,756,0.281,49.89,45.79,0.14,986,1.6,115,2
2012,1,1,23,30,24.6,0.96,0.046400000000000004,0.67,93,1004,940,1,12.5,93,1004,0,940,0.281,46.87,32.51,0.14,986,1.6,115,2
2012,1,2,0,30,26.5,0.75,0.0688,0.67,113,1004,1061,0,12.3,113,1004,0,1061,0.28,41.42,19.23,0.14,985,1.7000000000000002,113,2.2
2012,1,2,1,30,27.5,0.78,0.06470000000000001,0.67,112,1019,1124,1,12.200000000000001,112,1019,0,1124,0.279,38.730000000000004,6.78,0.14,984,1.7000000000000002,107,2.3000000000000003
2012,1,2,2,30,28,0.79,0.0627,0.67,110,1020,1116,1,12.200000000000001,110,1020,0,1116,0.278,37.52,9.450000000000001,0.14,984,1.7000000000000002,101,2.5
2012,1,2,3,30,28,0.84,0.0874,0.67,121,982,1029,1,12.3,121,982,0,1029,0.278,37.96,22.34,0.14,983,1.8,96,2.7
2012,1,2,4,30,27.400000000000002,0.8,0.08610000000000001,0.67,114,949,885,0,12.8,114,949,0,885,0.277,40.39,35.64,0.14,983,1.9000000000000001,92,2.8000000000000003
2012,1,2,5,30,26.5,0.76,0.0852,0.67,104,894,692,0,13.200000000000001,104,894,1,692,0.277,43.800000000000004,48.9,0.14,983,1.9000000000000001,90,2.8000000000000003
2012,1,2,6,30,25.200000000000003,0.72,0.07400000000000001,0.67,85,809,465,0,13.600000000000001,85,809,0,465,0.277,48.47,62,0.14,984,2,89,2.7
2012,1,2,7,30,23.3,0.7000000000000001,0.0717,0.67,63,628,227,0,13.9,63,628,0,227,0.277,55.43,74.8,0.14,985,2,86,2.1
